草药名	contains序号	all序号
白扁豆	463	TCMBANKHE006505
益母草	464	NA
天竺黄	465	TCMBANKHE002659
扁豆花	466	TCMBANKHE000257
芜菁	467	NA
蓖麻	468	NA
枇杷叶	469	TCMBANKHE006972
何首乌	470	TCMBANKHE008555
蜥蜴	471	NA
浙贝母	472	TCMBANKHE004916
石莲子	473	TCMBANKHE003242
仙鹤草	474	TCMBANKHE008574
金果榄	475	TCMBANKHE006859
王不留行	476	TCMBANKHE006326
黑大豆	477	TCMBANKHE008400
酸枣仁	478	TCMBANKHE004612
巴豆	479	TCMBANKHE005586
猕猴桃	480	TCMBANKHE005597
莲房	481	TCMBANKHE000350
银柴胡	482	TCMBANKHE005328
阿魏	483	TCMBANKHE005580
白及	484	TCMBANKHE006671
金莲花	485	TCMBANKHE009129
猪苓	486	TCMBANKHE005505
黄狗肾	487	TCMBANKHE004387
紫花地丁	488	TCMBANKHE007962
辛夷	489	TCMBANKHE005168
苍耳子	490	TCMBANKHE005199
水杨梅	491	TCMBANKHE007100
茴香	492	TCMBANKHE004555
土贝母	493	TCMBANKHE004526
降香	494	TCMBANKHE004862
胆南星	495	NA
三白草	496	TCMBANKHE004037
吉祥草	497	TCMBANKHE006355
蛇床子	498	TCMBANKHE004757
鸡子黄	499	TCMBANKHE007351
救必应	500	TCMBANKHE006345
蝮蛇	501	NA
牡荆	502	TCMBANKHE001340
寻骨风	503	TCMBANKHE003156
芡实	504	TCMBANKHE007628
垂盆草	505	TCMBANKHE008102
金沸草	506	TCMBANKHE006322
山药	507	TCMBANKHE008775
皂荚	508	TCMBANKHE005609
穿破石	509	TCMBANKHE001227
猪胆汁	510	TCMBANKHE001275
海参	511	TCMBANKHE001201
灯心草	512	TCMBANKHE004651
绿豆	513	TCMBANKHE002715
香加皮	514	TCMBANKHE005533
安息香	515	TCMBANKHE006598
雪上一枝蒿	516	TCMBANKHE001051
常山	517	TCMBANKHE005671
凤眼草	518	TCMBANKHE000358
亚麻子	519	TCMBANKHE003873
四季青	520	TCMBANKHE003990
白豆蔻	521	TCMBANKHE004015
椿皮	522	NA
鸭跖草	523	TCMBANKHE005736
百合	524	TCMBANKHE008975
黑种草子	525	NA
薤白	526	TCMBANKHE005462
羚羊角	527	TCMBANKHE002700
西河柳	528	TCMBANKHE001729
白石英	529	NA
九里香	530	TCMBANKHE008642
莨菪	531	NA
片姜黄	532	TCMBANKHE000970
月季	533	NA
秦艽	534	TCMBANKHE009154
芥子	535	TCMBANKHE004095
胡芦巴	536	TCMBANKHE001046
豹骨	537	TCMBANKHE001581
沙苑子	538	NA
草果	539	TCMBANKHE008630
冬葵子	540	TCMBANKHE002053
人参果	541	NA
胖大海	542	TCMBANKHE005039
甘松	543	TCMBANKHE008834
芦荟	544	TCMBANKHE003738
地骨皮	545	TCMBANKHE008626
雷公藤	546	TCMBANKHE003734
藤黄	547	TCMBANKHE004732
芫花	548	TCMBANKHE006523
谷芽	549	TCMBANKHE005894
漏芦	550	TCMBANKHE006669
肉苁蓉	551	TCMBANKHE006428
甲鱼	552	NA
紫贝齿	553	TCMBANKHE000242
苦参	554	TCMBANKHE008503
鸦胆子	555	TCMBANKHE009189
罂粟	556	TCMBANKHE006850
茯苓	557	TCMBANKHE004574
鹅不食草	558	TCMBANKHE006173
川贝母	559	TCMBANKHE005359
桉油	560	NA
附子	561	TCMBANKHE007565
党参	562	TCMBANKHE004664
化橘红	563	TCMBANKHE003373
壁虎	564	NA
天冬	565	TCMBANKHE000698
牛蒡	566	NA
煅石膏	567	TCMBANKHE000608
蛇莓	568	TCMBANKHE008579
海桐皮	569	TCMBANKHE008315
冬虫夏草	570	TCMBANKHE004022
苎麻	571	NA
莴苣	572	TCMBANKHE005459
预知子	573	TCMBANKHE006119
马勃	574	TCMBANKHE005110
络石藤	575	TCMBANKHE004000
桑叶	576	TCMBANKHE008460
蕤仁	577	TCMBANKHE002879
莲子	578	TCMBANKHE006652
李子	579	TCMBANKHE004835
大戟	580	NA
铁包金	581	NA
海狗肾	582	TCMBANKHE000985
藜	583	TCMBANKHE008078
辣椒	584	TCMBANKHE003717
毛冬青	585	TCMBANKHE007311
鸡骨草	586	TCMBANKHE008131
鸡血藤	587	TCMBANKHE007847
虫白蜡	588	TCMBANKHE008157
防己	589	TCMBANKHE008958
巴豆霜	590	TCMBANKHE002953
刺猬皮	591	TCMBANKHE000762
木通	592	TCMBANKHE008697
木耳	593	TCMBANKHE007385
虎骨	594	TCMBANKHE001678
苍术	595	TCMBANKHE006209
金礞石	596	TCMBANKHE000511
大麻药	597	NA
蓼大青叶	598	TCMBANKHE007523
芫荽	599	TCMBANKHE002350
甘遂	600	TCMBANKHE004697
云芝	601	TCMBANKHE000955
苏木	602	TCMBANKHE004972
棕榈炭	603	TCMBANKHE001139
紫石英	604	TCMBANKHE002546
雷丸	605	TCMBANKHE008734
蜗牛	606	TCMBANKHE003020
红豆蔻	607	TCMBANKHE001695
龙骨	608	TCMBANKHE002999
鸽	609	NA
沉香	610	TCMBANKHE006325
禹余粮	611	NA
炙甘草	612	TCMBANKHE000312
广金钱草	613	TCMBANKHE004494
鸡矢藤	614	TCMBANKHE005622
烟草	615	TCMBANKHE003737
鹿角胶	616	TCMBANKHE003208
钩藤	617	TCMBANKHE004610
猪牙皂	618	NA
山楂叶	619	TCMBANKHE008279
厚朴花	620	TCMBANKHE007340
白蔹	621	TCMBANKHE003755
罗勒	622	TCMBANKHE005815
绞股蓝	623	TCMBANKHE005555
佛手	624	TCMBANKHE006232
鱼腥草	625	TCMBANKHE003735
石韦	626	TCMBANKHE005548
地龙	627	TCMBANKHE005014
松花粉	628	TCMBANKHE002901
薄荷	629	TCMBANKHE005980
黄精	630	TCMBANKHE005949
接骨木	631	TCMBANKHE006320
人参芦	632	TCMBANKHE008893
锦灯笼	633	TCMBANKHE001712
玉米须	634	TCMBANKHE006937
当药	635	TCMBANKHE005721
桑白皮	636	TCMBANKHE006099
鼠妇	637	NA
石楠藤	638	TCMBANKHE000370
象皮	639	NA
马钱子	640	TCMBANKHE004431
通草	641	TCMBANKHE008005
蚱蜢	642	NA
杠板归	643	NA
榧子	644	TCMBANKHE007181
五加	645	NA
牵牛	646	NA
蚕豆花	647	NA
黄瓜	648	TCMBANKHE008148
麝香	649	TCMBANKHE004062
凤尾草	650	TCMBANKHE004773
七叶莲	651	TCMBANKHE001256
万年青	652	NA
马蔺子	653	TCMBANKHE009063
芙蓉花	654	NA
紫草茸	655	TCMBANKHE006748
紫河车	656	TCMBANKHE005051
